ああ,嗚呼,Ah!;Oh!;Alas!
えき,役,war;campaign;battle
えきたい,液体,liquid;fluid
えさ,餌,feed;bait
えだ,枝,branch;bow;twig;limb
えつらん,閲覧,inspection;reading
えのぐ,絵の具,colors;paints
えもの,獲物,game;spoils;trophy
えらい,偉い,great;celebrated;eminent;terrible;awful;famous;remarkable;excellent
えらぶ,選ぶ,to choose;to select
えり,襟,neck;collar;lapel;neckband
えん,縁,chance;fate;destiny;relation;bonds;connection;karma
えん,円,Yen;circle
えん,塩,salt
えん,艶,charming;fascinating;voluptuous
えん,園,garden (esp. man-made)
えんかい,宴会,party;banquet
えんかつ,円滑,harmony;smoothness
えんがわ,縁側,veranda;porch;balcony;open corridor
えんがん,沿岸,coast;shore
えんき,延期,postponement;adjournment
えんきょく,婉曲,euphemistic;circumlocution;roundabout;indirect;insinuating
えんぎ,演技,acting;performance
えんげい,園芸,horticulture;gardening
えんげき,演劇,play (theatrical)
えんしゅう,円周,circumference
えんしゅう,演習,practice;exercises;manoeuvers
えんしゅつ,演出,production (e.g. play);direction
えんじょ,援助,assistance;aid;support
えんじる,演じる,to perform (a play);to play (a part);to act (a part);to commit (a blunder)
えんずる,演ずる,to perform;to play
えんせん,沿線,along railway line
えんぜつ,演説,speech;address
えんそう,演奏,musical performance
えんそく,遠足,trip;hike;picnic
えんだん,縁談,marriage proposal;engagement
えんちょう,延長,extension;elongation;prolongation;lengthening
えんとつ,煙突,chimney
えんぽう,遠方,long way;distant place
えんまん,円満,perfection;harmony;peace;smoothness;completeness;satisfaction;integrity
えんりょ,遠慮,diffidence;restraint;reserve
お,尾,tail;ridge
お,於,at;in;on
おい,甥,nephew
おいかける,追い掛ける,to chase or run after someone;to run down;to pursue
おいこす,追い越す,to pass (e.g. car);to outdistance;to outstrip
おいこむ,追い込む,to herd;to corner;to drive
おいしい,美味しい,delicious;tasty
おいだす,追い出す,to expel;to drive out
おいつく,追い付く,to overtake;to catch up (with)
おいて,於いて,at;in;on
おいでになる,お出でになる,to be
おいる,老いる,to age;to grow old
おう,負う,to bear;to owe
おう,王,1.  king;ruler;sovereign;monarch; 2.  king (for senior player) (shogi)
おう,追う,to chase;to run after
おうえん,応援,aid;assistance;help;reinforcement;rooting;barracking;support;cheering
おうきゅう,応急,emergency
おうごん,黄金,gold
おうさま,王様,king
おうしょく,黄色,yellow
おうしん,往診,doctor's visit;house call
おうじ,王子,prince
おうじょ,王女,princess
おうじる,応じる,to respond;to satisfy;to accept;to comply with;to apply for
おうずる,応ずる,to answer;to respond;to meet;to satisfy;to accept
おうせつ,応接,reception
おうたい,応対,receiving;dealing with
おうだん,横断,crossing
おうふく,往復,round trip;coming and going;return ticket
おうべい,欧米,Europe and America;the West
おうぼ,応募,subscription;application
おうよう,応用,application;put to practical use
おえる,終える,to finish
おおい,,hey!
おおい,多い,many;numerous
おおいに,大いに,very;much;greatly
おおう,覆う,to cover;to hide;to conceal;to wrap;to disguise
おおかた,大方,perhaps;almost all;majority
おおがら,大柄,large build;large pattern
おおきい,大きい,big;large;great
おおげさ,大げさ,grandiose;exaggerated
おおごと,大事,important;valuable;serious matter
おおざっぱ,大ざっぱ,rough (as in not precise);broad;sketchy
おおすじ,大筋,outline;summary
おおぞら,大空,heaven;firmament;the sky
おおどおり,大通り,main street
おおはば,大幅,full width;large scale;drastic
おおみず,大水,flood
おおや,大家,landlord;landlady
おおやけ,公,official;public;formal;open;governmental
おおよそ,大凡,about;roughly;as a rule;approximately
おか,丘,hill;height;knoll;rising ground
おかあさん,お母さん,mother
おかげ,お蔭,(your) backing;assistance
おかげさまで,お蔭様で,Thanks to god;thanks to you
おかしい,可笑しい,strange;funny;amusing;ridiculous
おかす,犯す,to commit;to perpetrate;to violate;to rape
おかす,侵す,to invade;to raid;to trespass;to violate;to intrude on
おかず,お菜,side dish;accompaniment for rice dishes
おかまいなく,お構いなく,please don't fuss over me
おかわり,お代わり,second helping;another cup
おがむ,拝む,to worship;to beg;to make a supplication
おき,沖,open sea
おきる,起きる,to get up;to rise
おぎなう,補う,to compensate for
おく,奥,interior;inner part
おく,置く,to put;to place
おく,億,(num) 100 000 000;hundred million
おくがい,屋外,outdoors
おくさん,奥さん,wife;your wife;his wife;married lady;madam
おくじょう,屋上,rooftop
おくびょう,臆病,cowardice;timidity
おくらす,遅らす,to retard;to delay
おくりがな,送り仮名,part of word written in kana
おくりもの,贈り物,present;gift
おくる,送る,to send (a thing);to dispatch;to take or escort (a person somewhere);to see off (a person);to spend a period of time;to live a life
おくる,贈る,to send;to give to;to award to;to confer on
おくれ,遅れ,delay;lag
おくれる,遅れる,to be late;to be delayed;to fall behind schedule
おこさん,お子さん,(someone else's) child
おこす,起こす,to raise;to cause;to wake someone
おこたる,怠る,to neglect;to be off guard;to be feeling better
おこない,行い,deed;conduct;behavior;action;asceticism
おこなう,行う,to perform;to do;to conduct oneself;to carry out
おこる,起こる,to occur;to happen
おごそか,厳か,austere;majestic;dignified;stately;awful;impressive
おごる,傲る,to be proud
おさ,長,chief;head
おさえる,押さえる,to stop;to restrain;to seize;to repress;to suppress;to press down
おさきに,お先に,before;ahead;previously
おさない,幼い,very young;childish
おさまる,収まる,to be obtained;to end;to settle into;to fit into;to be settled;to be paid;to be delivered
おさまる,納まる,to be obtained;to end;to settle into;to fit into;to be settled;to be paid;to be delivered
おさまる,治まる,to be at peace;to clamp down;to lessen (storm  terror  anger)
おさめる,収める,to obtain;to reap;to pay;to supply;to accept
おさめる,納める,to obtain;to reap;to pay;to supply;to accept
おさめる,治める,to govern;to manage;to subdue
おさん,お産,(giving) birth
おしい,惜しい,regrettable;disappointing;precious
おしいれ,押し入れ,closet
おしえ,教え,teachings;precept;lesson;doctrine
おしえる,教える,to teach;to inform;to instruct
おしきる,押し切る,to have one's own way
おしこむ,押し込む,to push into;to crowd into
おしむ,惜しむ,to be frugal;to value;to regret
おしゃべり,お喋り,chattering;talk;idle talk;chat;chitchat;gossip;chatty;talkative;chatterbox;blabbermouth
おしゃれ,お洒落,smartly dressed;someone smartly dressed;fashion-conscious
おしよせる,押し寄せる,to push aside;to advance on
おじ,伯父,uncle (older than one's parent)
おじいさん,お祖父さん,grandfather;male senior-citizen
おじぎ,御辞儀,bow
おじさん,伯父さん,middle-aged gentleman;uncle
おじゃまします,お邪魔します,Excuse me for disturbing (interrupting) you
おじょうさん,お嬢さん,daughter
おす,雄,male (animal)
おす,押す,to push;to press;to stamp (i.e. a passport)
おせじ,お世辞,flattery;compliment
おせん,汚染,pollution;contamination
おそい,遅い,late;slow
おそう,襲う,to attack
おそくとも,遅くとも,at the latest
おそらく,恐らく,perhaps
おそれ,恐れ,fear;horror
おそれいる,恐れ入る,to be filled with awe;to feel small;to be amazed;to be surprised;to be disconcerted;to be sorry;to be grateful;to be defeated;to confess guilt
おそれる,恐れる,to fear;to be afraid of
おそろしい,恐ろしい,terrible;dreadful
おそわる,教わる,to be taught
おだいじに,お大事に,Take care of yourself
おだてる,煽てる,to stir up;to instigate;to flatter
おだやか,穏やか,calm;gentle;quiet
おちこむ,落ち込む,to fall into;to feel down (sad)
おちつき,落ち着き,calm;composure
おちつく,落ち着く,to calm down;to settle down;to be steady;to settle in;to take up one's residence;to harmonize with;to match;to restore presence of mind
おちば,落ち葉,fallen leaves;leaf litter;defoliation;shedding leaves
おちる,落ちる,to fail (e.g. exam);to fall down;to drop
おっかない,,frightening;huge
おっしゃる,仰っしゃる,to say;to speak;to tell;to talk
おっと,夫,(my) husband
おつ,乙,1.  strange;quaint;stylish;chic;spicy;queer;witty;tasty;romantic; 2.  2nd in rank;second sign of the Chinese calendar
おつかい,お使い,errand
おてあげ,お手上げ,all over;given in;given up hope;bring to knees
おてあらい,御手洗い,toilet;restroom;lavatory;bathroom (US)
おてつだいさん,お手伝いさん,maid
おと,音,sound;note
おと,弟,younger brother
おとうさん,お父さん,father
おとこ,男,man
おとこのひと,男の人,man
おとしもの,落し物,lost property
おとす,落とす,to drop;to lose;to let fall
おとずれる,訪れる,to visit
おととい,一昨日,day before yesterday
おととし,一昨年,year before last
おとな,大人,adult
おとなしい,大人しい,obedient;docile;quiet
おとめ,少女,daughter;young lady;virgin;maiden;little girl
おとも,お供,attendant;companion
おとる,劣る,to fall behind;to be inferior to
おとろえる,衰える,to become weak;to decline;to wear;to abate;to decay;to wither;to waste away
おどおど,,coweringly;hesitantly
おどかす,脅かす,to threaten;to coerce
おどす,脅す,to threaten;to menace
おどり,踊り,dance
おどる,踊る,to dance
おどろかす,驚かす,to surprise;to frighten;to create a stir
おどろき,驚き,surprise;astonishment;wonder
おどろく,驚く,to be surprised
おないどし,同い年,of the same age
おなか,お腹,stomach
おなご,女子,woman;girl
おなじ,同じ,same;identical;equal;uniform;equivalent;similar;common (origin);changeless
おに,鬼,"ogre;demon;""it"" (i.e.  in a game of tag)"
おにいさん,お兄さん,"older brother;(vocative) ""Mister?"""
おねえさん,お姉さん,"older sister;(vocative) ""Miss?"""
おねがいします,お願いします,please
おのおの,各々,each;every;either;respectively;severally
おのおの,各,each;every;either;respectively;severally
おのずから,自ずから,naturally;as a matter of course
おはよう,お早う,Good morning
おば,伯母,aunt(older than one's parent)
おばあさん,お祖母さん,grandmother;female senior-citizen
